id,x,y,z,x_transformed,y_transformed,z_transformed
0,-0.861935,2.85403,0.552064,-2.9710463296097545,-0.19391152059640948,0.9180925373663801
1,-0.652588,2.69877,0.669006,-2.80931059523454,0.020187636557488564,1.0161250243546258
2,-0.681092,3.08338,0.539631,-3.197757774838704,-0.010313980857896587,0.8992761444557757
3,-0.452526,2.89523,0.576465,-3.0050616058207056,0.21687222520223887,0.9152196896634403
5,7.05945,3.02159,0.909793,-3.0030805320349168,7.735062614201945,0.7317335052812619
7,7.32832,3.13206,0.928125,-3.1087258236665205,8.006471777434095,0.7343600036532149
9,13.3903,3.26211,1.17948,-3.135681517017791,14.07275338471803,0.5694518151068964
11,13.3801,3.00011,1.10405,-2.876064400970817,14.052757381754956,0.4879850254257472
13,19.0959,3.09475,1.35033,-2.8732548661934145,19.772754704403592,0.34100562752647656
15,19.2963,3.30184,1.33874,-3.0773843627412627,19.975523490809614,0.32108769343310933
17,25.1842,3.2432,1.5612,-2.9193047141577764,25.862836047857446,0.1343922421474661
18,25.0919,3.64422,1.60392,-3.320400943383269,25.780807146827875,0.19401105710526895
19,25.0037,3.39897,1.72047,-3.0734473866812553,25.6964871008203,0.30983322973860494
21,31.1099,3.37214,2.0112,-2.9418121891817686,31.8068015740244,0.1769745261026532
22,31.1768,3.77276,1.94654,-3.34295792430317,31.876191237951893,0.11849304412810151
23,31.3366,3.53466,1.93782,-3.102687926038748,32.03077148839874,0.09243613514401872
25,37.2148,3.53331,2.20496,-3.000786097586813,37.91249159264608,-0.04751197935179935
26,37.2834,3.91085,2.32748,-3.373655433975616,37.996021240708934,0.07994318090257263
27,37.4545,3.68176,2.24444,-3.144268969010576,38.156929305995014,-0.020771882105580453
29,43.1413,3.62992,2.62361,-2.991835121694333,43.85452955693228,-0.03710642256287022
30,43.1897,4.00607,2.49064,-3.3707073382356296,43.90034156128841,-0.16308065480882983
31,43.369,3.77885,2.55488,-3.1389832117843706,44.07957547142488,-0.11743713744229312
32,49.0846,3.95394,2.98116,-3.211603457138884,49.813158863175836,-0.08276299286138489
33,48.8283,3.80798,2.8581,-3.0731859166677657,49.54646782754242,-0.19164022281652693
35,48.9945,3.75062,2.6489,-3.019011877153096,49.696867825875685,-0.4132756521684602
37,52.6137,3.81702,2.91672,-3.0206074953110713,53.32652260524558,-0.39459975861418684
38,52.5942,4.21146,2.99894,-3.4128799623542636,53.31970619688363,-0.3007960264022358
39,52.8122,4.00681,2.98936,-3.2051443930673473,53.53287352407531,-0.3308463636880421
40,61.0145,4.13205,3.55323,-3.1847221271018866,61.75546076306576,-0.33217027619672046
41,61.081,4.00999,3.29642,-3.068778917523736,61.80199617026987,-0.5961094694383957
43,61.3502,4.08159,3.33304,-3.1350625392217193,62.0743016001227,-0.5762988973299453
45,67.0935,4.10418,3.55775,-3.060400907124314,67.81897195069128,-0.7486009176048349
47,67.3591,4.21565,3.56904,-3.167292437805354,68.08665350791955,-0.7527445378220642
49,73.0988,4.10959,3.8609,-2.9622445842301883,73.83006454089949,-0.8612441101191254
50,73.1288,4.51597,3.85551,-3.3680915696327616,73.86681909099974,-0.8579148479525861
51,73.3236,4.29561,3.85477,-3.14477697452576,74.05717350293482,-0.8779624580106643
53,78.8494,4.29721,4.04031,-3.053667210573537,79.58182985677104,-1.0748494167709453
54,78.8509,4.69945,4.07804,-3.454634396868188,79.59304375567832,-1.0266582922120824
55,79.0565,4.48742,4.10698,-3.2386528528636593,79.796356619164,-1.0176329561700572
57,84.7613,4.46354,4.6315,-3.1098561813450756,85.52238777267401,-0.8895190566938825
58,84.6572,4.71203,4.32745,-3.3682857272622857,85.40207422059139,-1.1789483426728435
59,84.9062,4.57801,4.40974,-3.2281099412067227,85.65372340148126,-1.1176503552576267
61,90.7885,4.50603,4.67333,-3.0556473380737508,91.53803799776948,-1.2632954064269346
62,90.9466,4.85479,4.55951,-3.4048748820805157,91.69410349555673,-1.3784814425051808
63,91.051,4.60613,4.69109,-3.1510446912649344,91.80287018657981,-1.2610740613300013
65,96.9089,4.46973,4.94812,-2.9147631408519996,97.66125436955251,-1.413283077258741
67,97.1624,4.61381,4.94721,-3.054777540416995,97.9166064280878,-1.4278919312944796
68,102.349,4.72005,5.55923,-3.0618250941199365,103.13405614336877,-1.1732475154878
69,102.308,4.62145,5.28817,-2.9714280574739105,103.072799357777,-1.443344656502994
71,102.498,4.82523,5.1956,-3.1746556093650717,103.25957498368253,-1.5433892516589665
73,106.257,4.87291,5.61459,-3.1511407628665387,107.03872657744273,-1.3841181435634997
74,106.239,4.53376,5.41925,-2.817855662190981,107.00134934998508,-1.586672883412417
75,106.452,4.69714,5.54513,-2.9742925012171497,107.22535169247095,-1.47152834486914
77,114.696,4.86802,5.80501,-3.0072406869249377,115.46946833547594,-1.7776799125388485
78,114.835,5.23735,5.89845,-3.3715934414478843,115.6210784175102,-1.6843089545427925
79,114.949,4.97594,5.84628,-3.109953853602568,115.72657737116592,-1.7511490162549692
81,120.807,4.98517,6.07214,-3.020089415706538,121.58550119253768,-1.9305869460917315
82,120.903,5.35393,6.21276,-3.3832479693141093,121.69744917392104,-1.7872082991255724
