"Point Name","X (East)","Y (North)","Z (Elevation)"
"a104",149.44076100724,4.7350679214138,7.68012974193548
"a106",1.28460190176667,2.47093374278738,4.12112974193548
"a110",5.91792383591375,2.4952195835375,4.11312974193548
"a134",41.6011034555996,2.73733493094163,4.80712974193548
"a142",53.7607091064871,2.8691524403491,5.10212974193548
"a178",106.762751700233,3.26641930238438,6.38512974193548
"a184",118.212525403465,3.40174748222593,6.74212974193548
"a3",1.19211681101829,3.45486434404784,4.06012974193548
"a202",142.073351413467,3.62334912708114,7.45312974193548
"a230",32.8534736407209,1.64578842673895,4.63912974193548
"a246",53.8775640452322,1.80038830850817,5.07812974193548
"a250",62.3214510153022,1.88225991148937,5.27212974193548
"a274",97.6560905092317,2.19785151910302,6.24012974193548
"a292",127.085500216518,2.43600750390439,7.01912974193548
"a302",139.10389612913,2.54698169753818,7.34212974193548
"a318",6.0926770249428,-0.471191797250792,4.13112974193548
"a322",12.0235652506184,-0.518123397577932,4.24312974193548
"a338",35.9370817319186,-0.205171923722024,4.74112974193548
"a350",54.0109639687113,-0.015621874780352,5.03312974193548
"a352",59.5003227487564,0.019114409991753,5.21912974193548
"a375",88.8003775744643,0.237505627226574,6.01612974193548
"a388",112.348012156495,0.433993100605168,6.55312974193548
"a397",124.218061077509,0.552738833472419,6.85712974193548
"a402",130.250040229594,0.602467286356294,7.05912974193548
"a447",44.9146006603591,-1.13848378463766,4.94812974193548
"a44",67.8898129199874,4.01241109993989,5.52412974193548
"a491",106.822952152182,-0.628155767917474,6.29512974193548
"a516",145.083797540783,-0.31111875965424,7.41912974193548
"a524",1.68281959634403,-2.58563148407231,4.09112974193548
"a532",12.2531184674011,-2.62899136136835,4.25112974193548
"a620",142.161044880499,-1.5492600145996,7.37312974193548
"a624",149.498855292245,-1.35715153941923,7.57912974193548
"a627",1.96646611586363,-5.96246861971649,4.17212974193548
"a629",54.4583206124014,-5.42473968698995,5.11112974193548
"a630",54.4437043794982,-5.58302448781723,5.04712974193548
"a640",149.532208719386,-4.71018478588869,7.68812974193548
"a641",2.17582535124971,-8.92960597682181,4.21712974193548
"a645",54.670204519151,-8.46402472024767,5.14412974193548
"a651",103.091324762446,-8.09163464774716,6.41712974193549
"a659",2.24258783330368,-10.0412594703163,4.19012974193548
"a661",54.7470981781513,-9.47773124154773,5.04212974193548
"a667",103.056161976256,-9.05972793883535,6.36712974193548
