"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a497","-2.111","-69.761","-1.014","-1.014","123.48320256916416","8.924064365785645","2.63502066067686"
"a507","-2.116","-81.932","-2.021","-2.021","135.63077241741422","10.021957726428797","2.0198036659976104"
"a515","-2.157","-93.876","-2.318","-2.318","147.53178823342643","11.074175646373984","2.1074734782114124"
"a519","-2.176","-98.309","-2.489","-2.489","151.95122758132828","11.459994532796173","2.0793552084082414"
"a521","-2.944","51.171","1.014","1.014","3.133400984469162","-2.9874519086960687","0.7921056959274817"
"a525","-2.946","46.522","0.935","0.935","7.763162018089091","-2.5634275035505727","0.8625476962933468"
"a529","-2.952","40.497","0.847","0.847","13.763055482079636","-2.0170711561747137","0.9682745256491614"
"a533","-2.963","34.517","0.712","0.712","19.72020285592577","-1.4805586403156763","1.025680854609864"
"a547","-2.966","16.392","0.34","0.34","37.77191428335395","0.17636243307089483","1.2362636113259917"
"a551","-3.106","10.31","0.187","0.187","43.84296613849366","0.5935306597753947","1.2813528875776015"
"a555","-3.028","1.911","0.048","0.048","52.19962873290555","1.4408996175566466","1.410821542261907"
"a557","-3.037","-1.907","0.049","0.049","56.000281199899746","1.7828283518930217","1.5346422423329702"
"a561","-3.051","-7.462","-0.062","-0.062","61.53391280018365","2.277669262244004","1.6024344674211055"
"a565","-3.061","-13.481","-0.248","-0.248","67.53150181273871","2.817969289129835","1.6101102361722353"
"a569","-3.066","-19.47","-0.474","-0.474","73.5001242715946","3.359869192567291","1.5767570010137844"
"a583","-3.079","-36.96","-0.204","-0.204","90.8991359021989","4.958450155622266","2.408683790253405"
"a586","-3.234","-42.995","-0.368","-0.368","96.92515167551088","5.356193504351154","2.4415490962318525"
"a591","-3.108","-51.318","-0.481","-0.481","105.20091510963141","6.244773009247012","2.5936676222329105"
"a593","-3.118","-55.126","-0.551","-0.551","108.99409846131823","6.583684182626763","2.6462345038631474"
"a597","-3.145","-60.752","-0.781","-0.781","114.60358939793554","7.0702580311825045","2.5976307806526884"
"a601","-3.153","-66.741","-0.957","-0.957","120.57080133028546","7.609947693645164","2.614298793477563"
"a615","-3.161","-84.904","-2.094","-2.094","138.68656239601142","9.253499216199192","2.0617217380019968"
"a619","-3.21","-90.897","-2.261","-2.261","144.66119695464084","9.752874754544802","2.088272868542953"
"a623","-3.265","-98.332","-2.48","-2.48","152.07328181629998","10.37798837572392","2.109295812664025"
